date;animals;grass;avg energy;avg life;avg children
0;10;2;131;0;0
1;10;6;129;0;0
2;10;8;128;0;0
3;10;10;127;0;0
4;10;10;127;0;0
5;10;14;125;0;0
6;10;14;125;0;0
7;10;16;124;0;0
8;10;18;123;0;0
9;10;20;122;0;0
10;10;22;121;0;0
11;10;24;120;0;0
12;10;26;119;0;0
13;10;28;118;0;0
14;10;30;117;0;0
15;10;32;116;0;0
16;10;34;115;0;0
17;10;36;114;0;0
18;10;37;118;0;0
19;10;39;117;0;0
20;10;41;116;0;0
21;10;43;115;0;0
22;10;45;114;0;0
23;10;47;113;0;0
24;10;49;112;0;0
25;10;51;111;0;0
26;10;53;110;0;0
27;10;55;109;0;0
28;10;57;108;0;0
29;10;59;107;0;0
30;10;61;106;0;0
31;10;63;105;0;0
32;10;65;104;0;0
33;10;67;103;0;0
34;10;69;102;0;0
35;10;71;101;0;0
36;10;73;100;0;0
37;10;75;99;0;0
38;10;77;98;0;0
39;10;79;97;0;0
40;10;81;96;0;0
41;10;83;95;0;0
42;10;85;94;0;0
43;10;87;93;0;0
44;10;89;92;0;0
45;10;91;91;0;0
46;10;93;90;0;0
47;10;95;89;0;0
48;10;97;88;0;0
49;10;99;87;0;0
50;10;101;86;0;0
51;10;103;85;0;0
52;10;105;84;0;0
53;10;107;83;0;0
54;10;109;82;0;0
55;10;111;81;0;0
56;10;113;80;0;0
57;10;115;79;0;0
58;10;117;78;0;0
59;10;119;77;0;0
60;10;121;76;0;0
61;10;123;75;0;0
62;10;125;74;0;0
63;10;127;73;0;0
64;10;129;72;0;0
65;10;131;71;0;0
66;10;133;70;0;0
67;10;135;69;0;0
68;10;137;68;0;0
69;10;139;67;0;0
70;10;141;66;0;0
71;10;143;65;0;0
72;10;145;64;0;0
73;10;147;63;0;0
74;10;148;62;0;0
75;10;149;61;0;0
76;10;150;60;0;0
77;10;151;59;0;0
78;10;152;58;0;0
79;10;153;57;0;0
80;10;154;56;0;0
81;10;155;55;0;0
82;10;156;54;0;0
83;10;157;53;0;0
84;10;158;52;0;0
85;10;159;51;0;0
86;10;160;50;0;0
87;10;161;49;0;0
88;10;162;48;0;0
89;10;163;47;0;0
90;10;164;46;0;0
91;10;165;45;0;0
92;10;166;44;0;0
93;10;167;43;0;0
94;10;168;42;0;0
95;10;169;41;0;0
96;10;170;40;0;0
97;10;171;39;0;0
98;10;172;38;0;0
99;10;173;37;0;0
100;10;174;36;0;0
101;10;175;35;0;0
102;10;176;34;0;0
103;10;177;33;0;0
104;10;178;32;0;0
105;10;179;31;0;0
106;10;180;30;0;0
107;10;181;29;0;0
108;10;182;28;0;0
109;10;183;27;0;0
110;10;184;26;0;0
111;10;185;25;0;0
112;6;186;40;111;0
113;6;187;39;111;0
114;6;188;38;111;0
115;6;189;37;111;0
116;6;190;36;111;0
117;6;191;35;111;0
118;6;192;34;111;0
119;6;193;33;111;0
120;6;194;32;111;0
121;6;195;31;111;0
122;6;196;30;111;0
123;6;197;29;111;0
124;6;198;28;111;0
125;6;199;27;111;0
126;6;200;26;111;0
127;6;201;25;111;0
128;6;202;24;111;0
129;6;203;23;111;0
130;6;204;22;111;0
131;6;205;21;111;0
132;6;206;20;111;0
133;6;207;19;111;0
134;6;208;18;111;0
135;6;209;17;111;0
136;6;210;16;111;0
137;6;211;15;111;0
138;6;212;14;111;0
139;6;213;13;111;0
140;6;214;12;111;0
141;6;215;11;111;0
142;6;216;10;111;0
143;6;217;9;111;0
144;6;218;8;111;0
145;6;219;7;111;0
146;6;220;6;111;0
147;6;221;5;111;0
148;6;222;4;111;0
149;6;223;3;111;0
150;2;224;81;132;1
151;4;225;105;132;1
152;4;226;104;132;1
153;4;227;103;132;1
154;4;228;102;132;1
155;4;229;101;132;1
156;4;230;100;132;1
157;4;231;99;132;1
158;4;232;98;132;1
159;4;233;97;132;1
